state,alpha,colsample_bytree,gamma,lambda_,learning_rate,max_depth,min_child_weight,subsample,objective
Andhra_Pradesh,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Arunachal_Pradesh,7.147100061248553,0.5194849917474152,0.04843224051180872,9.011692975777486,0.2840391515454244,8,1.2403422497713423,0.7477429280195671,reg:squarederror
Assam,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Bihar,16.54029474034014,0.5781454712690144,7.466304431654934,5.106391707566166,0.05804061440356608,11,5.158576739562803,1.0,reg:squarederror
Chhattisgarh,4.285194326321382,0.7651738634795872,9.160349988153163,0.29080245777422187,0.11931618657430787,11,3.4144929838256957,0.8271580812608518,reg:squarederror
Chandigarh,7.352236796646294,1.0,0.029641245299648573,7.373510947930643,0.15186208674602822,5,0.043141841651754664,1.0,reg:squarederror
NCT_of_Delhi,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Goa,5.817473948545158,0.8540219654651258,1.7572746156360997,0.9466248671376132,0.04970216519866872,11,5.495027414051621,0.566660158222569,reg:squarederror
Gujarat,18.549872423729916,1.0,3.5340407850984117,7.000575681842586,0.2572519653128338,7,4.043455872798238,1.0,reg:squarederror
Himachal_Pradesh,5.817473948545158,0.8540219654651258,1.7572746156360997,0.9466248671376132,0.04970216519866872,11,5.495027414051621,0.566660158222569,reg:squarederror
Haryana,12.053915337900118,0.7369451062903452,4.425095114980342,14.50746962201961,0.15755291790581144,8,8.59380353573734,0.9396309977104296,reg:squarederror
Jharkhand,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Jammu_and_Kashmir,13.958461780716437,1.0,3.8273437337293266,16.702580160346002,0.09221028697645405,12,1.764060171334663,0.9637915780055424,reg:squarederror
Karnataka,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Kerala,12.053915337900118,0.7369451062903452,4.425095114980342,14.50746962201961,0.15755291790581144,8,8.59380353573734,0.9396309977104296,reg:squarederror
Maharashtra,4.285194326321382,0.7651738634795872,9.160349988153163,0.29080245777422187,0.11931618657430787,11,3.4144929838256957,0.8271580812608518,reg:squarederror
Meghalaya,6.047699350323983,0.9247952862387689,0.13497932092991327,10.019792667226397,0.2773828116245499,7,4.721216734525587,0.7262175492355275,reg:squarederror
Manipur,7.720813641413811,0.3963498753238083,0.02572159965784304,10.229575462055605,0.2359857618485852,6,0.7022784072866928,0.9098954711919585,reg:squarederror
Madhya_Pradesh,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Mizoram,8.542610077863024,1.0,0.0,10.420166804202797,0.20345455811020857,4,2.196276119909514,1.0,reg:squarederror
Nagaland,6.894729210844752,0.7510605646827648,0.184857904478124,11.171893772524735,0.21869864915645004,8,6.165374812555252,0.9858312944110047,reg:squarederror
Odisha,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Punjab,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Puducherry,0.7239877002425588,0.9487610943916667,3.4082814818170593,12.026981650466874,0.36631723472978284,6,1.948626859606909,0.9565190643500036,reg:squarederror
Rajasthan,3.8370810200121563,0.8070602557830442,9.639294909974767,1.4655974466786814,0.13989047141325012,12,3.5782277717291873,0.8993197228668061,reg:squarederror
Sikkim,6.58168787165202,0.7319497609515682,0.21803616888896094,0.28869735450860246,0.24609510826249056,8,2.423281972880912,0.794408080274214,reg:squarederror
Tamil_Nadu,12.053915337900118,0.7369451062903452,4.425095114980342,14.50746962201961,0.15755291790581144,8,8.59380353573734,0.9396309977104296,reg:squarederror
Tripura,0.8098672076873981,0.7626345722030885,5.4918017145374245,2.1872712520761284,0.10754285026103974,8,8.82543231863541,0.7755656521087113,reg:squarederror
Telangana,19.164395132943227,0.9907235119419882,4.49971532420844,2.1485532705966293,0.0970457911870421,10,6.355020510757664,0.9275639498873818,reg:squarederror
Uttarakhand,5.817473948545158,0.8540219654651258,1.7572746156360997,0.9466248671376132,0.04970216519866872,11,5.495027414051621,0.566660158222569,reg:squarederror
Uttar_Pradesh,13.909370678530061,0.8241633913387654,5.666708492691726,16.651058538266604,0.12201219837325658,11,1.168188094369087,0.9555164071062475,reg:squarederror
West_Bengal,7.012200310260854,0.9552489785524684,9.85345617394986,19.29921049790803,0.3000346195805568,9,6.582611323635586,0.830637097125216,reg:squarederror
